Lobster Sandwich,$20.50,Big T’s Seafood Market Bar,$$,000000000.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/AsUOeOlV4s7pgZ8948t4Iw/258s.jpg
Chef Special Lobster Ramen,$41.00,Big T’s Seafood Market Bar,$$,000000001.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/GzXNiz1rPr1VTo68MujTqQ/258s.jpg
Dungeness Crab Ramen,$45.00,Big T’s Seafood Market Bar,$$,000000002.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/p0js860X5XxpEXZUn-DpFQ/258s.jpg
Grilled Seafood Combo Platter,$53.00,Big T’s Seafood Market Bar,$$,000000003.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Vmo-I2xix_9fDIGRsvekJw/258s.jpg
Soft-shell Crab Sandwich,$12.00,Big T’s Seafood Market Bar,$$,000000004.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/CE9Z_x7E-i4hRHWcA773LA/258s.jpg
Japanese Clams,$10.00,Big T’s Seafood Market Bar,$$,000000005.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/JKECgwI9b2wdAgIsCMriWQ/258s.jpg
Jumbo Shrimp,$16.75,Big T’s Seafood Market Bar,$$,000000006.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/d2CaMWYpHcumUO45V_MKdA/258s.jpg
Kids Popcorn Shrimp,$7.25,Big T’s Seafood Market Bar,$$,000000007.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/y63s8GnKg5LOJqJczRNSJQ/258s.jpg
Creekstone Prime Black Angus Beef,$9.95,Taichi Pot Shabu Shabu,$$,000000008.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/E49K7S7CbHe0tX22f65j9A/258s.jpg
Intense Spicy Mala Dashi,$8.75,Taichi Pot Shabu Shabu,$$,000000009.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/yC8oOt8aW7e-QBh43Zjdew/258s.jpg
Napa Cabbage,$2.95,Taichi Pot Shabu Shabu,$$,000000010.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/_yBRjNSc6PfnotbNwB98cg/258s.jpg
American Wagyu Kobe Beef,$11.95,Taichi Pot Shabu Shabu,$$,000000011.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/c9An8uC7BrILIyykNC0P4w/258s.jpg
Kyoto Shiro Miso Silk Dashi,$8.75,Taichi Pot Shabu Shabu,$$,000000012.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/6bCCiSKCuT6l4-d4lTORiQ/258s.jpg
Premium Lean Wagyu Kobe Beef,$10.95,Taichi Pot Shabu Shabu,$$,000000013.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/Pq1CzMVF1HuU1rDxEz4k4w/258s.jpg
Quail Eggs,$2.95,Taichi Pot Shabu Shabu,$$,000000014.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/qHciTQDu2whOYjWPg2VvAA/258s.jpg
Stewed Kobe Beef Tendon,$4.95,Taichi Pot Shabu Shabu,$$,000000015.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/qxNkG2SuFt1dLyZoC08-lQ/258s.jpg
Spicy Aka Miso Dashi,$8.75,Taichi Pot Shabu Shabu,$$,000000016.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/XMbTWQ3-b0cTByDsoj-WPQ/258s.jpg
Spicy Kimchi Jjigae Dashi,$8.75,Taichi Pot Shabu Shabu,$$,000000017.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/9AeJG4xnGMeOih7POQqb9Q/258s.jpg
Hanger Steak,$19.75,Rok Steakhouse &amp; Grill,$$,000000018.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/-bmu1nkrmP4WFGG3SHM8Hw/258s.jpg
Filet Mignon,$29.00,Rok Steakhouse &amp; Grill,$$,000000019.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/6cf1rbIm7vcvzSYfSxgdAg/258s.jpg
Chocolate Fondue,$18.00,Rok Steakhouse &amp; Grill,$$,000000020.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/uVWqx2VlS3N9wOfFPgxdzw/258s.jpg
Poke Salad,$14.75,Rok Steakhouse &amp; Grill,$$,000000021.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/CdCi5p250fp3rccPA2XMUA/258s.jpg
Pacific Yellowfin Ahi Tuna Lunch,$19.95,Rok Steakhouse &amp; Grill,$$,000000022.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/qnxtPXXvplyoGx7-7_yw-A/258s.jpg
Hawaiian Poke Salad,$12.75,Rok Steakhouse &amp; Grill,$$,000000023.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/8nXfg_Io1G84jxUW0SEcEw/258s.jpg
Bruschetta,$7.00,Rok Steakhouse &amp; Grill,$$,000000024.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/Zsml9LRfmTLLQVdI6VhGlA/258s.jpg
Ny Steak,$29.00,Rok Steakhouse &amp; Grill,$$,000000025.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/2_PIGUQho2lFRqBJuKENsg/258s.jpg
Ribeye,$38.00,Rok Steakhouse &amp; Grill,$$,000000026.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/YZQtVS2UoN4fcayJXaEcEA/258s.jpg
Roti Canai,$5.45,IPOH Garden Malaysian Cuisine,$$,000000027.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/gPy99FC9NhJ9rmp2jgpiYA/258s.jpg
Satay,$7.95,IPOH Garden Malaysian Cuisine,$$,000000028.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/dlu3AvXCA7LGwOvdp-a8og/258s.jpg
Hainanese Chicken,$13.50,IPOH Garden Malaysian Cuisine,$$,000000029.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/TFJKlK_LB7giS3_iyYiV5A/258s.jpg
